  ,Input,Class_I,Output,Class_O
0,"Sure, it's a grand day outside for a walk, isn't it?",Irs,"Sure, it's a lekker day outside for a walk, isn't it?",Saf
1,I'll meet you down at the pub later for a pint.,Irs,I'll meet you down at the shebeen just now for a dop.,Saf
2,We're just having a bit of craic at the party.,Irs,We're just playing around and enjoying at the party lah.,Sgp
3,I'm feeling a bit peckish; could you pass the Tayto crisps?,Irs,I feeling a bit hungry lah; can pass the Tayto chips or not?,Sgp
4,Would you be after stopping at the shop for some milk?,Irs,Would you mind popping into the shop for some milk?,Aus
5,"That film was brilliant, so it was.",Irs,"That movie was bloody brilliant, wasn't it?",Aus
6,"I’ve a notion to bake some soda bread this afternoon, would you like some?",Irs,"I'm getting an idea to make some soda bread this evening, would you like to have some?",Ind
7,"It's a soft day, thank God, just a light drizzle.",Irs,"By God's grace, it's a pleasant day, just a light rain is there.",Ind
8,"I'm after getting a new job in the city, so I am.",Irs,"I've just secured a new job in the city, indeed I have.",Brt
9,"Let’s have a wee chat over a cup of coffee, shall we?",Irs,"Let's have a little natter over a cup of tea, shall we?",Brt
10,I'm just popping around the corner to buy some biltong.,Saf,I'm just nipping 'round the corner to buy some biltong.,Irs
11,"This new project is quite lekker, isn’t it?",Saf,"This new project is quite grand, isn't it?
",Irs
12,I reckon we should braai this weekend if the weather's good.,Saf,I think we should barbecue this weekend if the weather is good.,Sgp
13,"I'll come visit you now-now, just finishing up some work.",Saf,"I coming to see you soon lah, just need clear some work first.",Sgp
14,"That movie was too good, hey?",Saf,"That film was bloody brilliant, wasn't it?",Aus
15,"I was thinking of going to the beach, just now, if the weather holds up.",Saf,"I was reckonin' on headin' to the beach, just now, if the weather holds up.",Aus
16,"You're going to the game, not so?",Saf,"You're going for the match, isn't it?",Ind
17,"I’ll fix this now-now, won’t take more than a minute.",Saf,"I'll set this right immediately, won't take more than a minute only.",Ind
18,"Eish, I forgot to call him back yesterday, now it’s too late.",Saf,"Blimey, I forgot to ring him back yesterday, now it's too late.",Brt
19,That rugby match was an absolute jol last night.,Saf,That rugby match was an absolute laugh last night.,Brt
20,We can go makan at the hawker centre later.,Sgp,We can go for a bite to eat at the food court later.,Irs
21,"You better study hard for the exam, if not later you regret.",Sgp,"You'd best be hittin' the books hard for the exam, if not you'll be regretting it later, so you will.",Irs
22,"Eh, you very kiasu leh, always must be first in everything.",Sgp,"Eish, you're very competitive hey, always must be first in everything.",Saf
23,That ice cream was so shiok.,Sgp,That ice cream was so lekker.,Saf
24,Have you finished your homework already or not?,Sgp,You done your homework yet or what?,Aus
