,Input,Class_I,Output,Class_O
0,"Sure, it's a grand day outside for a walk, isn't it?",Irs,"Eh, the weather outside quite good for jalan-jalan, right?

Reasoning: ""Eh"" is commonly used in Singaporean English (or Singlish) for calling attention. ""Quite good"" is a phrase often used by Singaporean to signify something is not just good, but quite satisfactory. ""Jalan-jalan"" is a Malay term used in Singlish meaning to ""go for a walk"". The word ""right"" at the end of the sentence is used as a question tag, which is commonly used by Singaporeans.",Singaporean
1,I'll meet you down at the pub later for a pint.,Irs,"Later on I'll see you at the pub for a beer, okay? 

Singaporean English, often referred to colloquially as 'Singlish', is famed for its unique phrases and sentence structure. In this translation, ""I'll meet you down"" is made simpler to ""I'll see you"", as direct translations are more commonly used in Singlish. ""For a pint"" is translated to ""for a beer"" because 'a pint' is not as commonly used in Singaporean English. The term 'okay' is added at the end, mirroring the trend of ending statements with question tags in informal Singlish.",Singaporean
2,We're just having a bit of craic at the party.,Irs,"We're just having a bit of fun at the shindig. 

This might be how an Australian might phrase it. ""Craic"" is a term commonly in Ireland and the United Kingdom, much less frequently in Australian English. Instead, they might use ""fun"". Additionally, ""party"" could be replaced with a more colloquial term like ""shindig"".",Australian
3,I'm feeling a bit peckish; could you pass the Tayto crisps?,Irs,"I'm feeling a bit hungry; could you pass the chips, mate? 

Reasoning: In Australian English, ""peckish"" can be replaced with ""hungry"" for better understanding. ""Mate"" is commonly used in Australia as a form of address. In place of Ireland's ""Tayto crisps,"" Australians would typically say ""chips.""",Australian
4,Would you be after stopping at the shop for some milk?,Irs,"Can you pop by the store for some milk, buddy?

Reasoning: Indian English often includes phrases like 'pop by' for 'stop at', and 'store' for 'shop'. Additionally, terms of endearment such as 'buddy' or 'friend' are commonly used.",Indian
5,"That film was brilliant, so it was.",Irs,"Translated Sentence: That picture was first-rate, isn't it?

Reasoning: The word 'film' is often replaced with 'picture' in Indian English. 'So it was' could be replaced with 'isn't it' as a way to seek affirmation in a typical Indian manner. 'Brilliant' is directly translated to 'first-rate' to maintain the positive appreciation of the subject.",Indian
6,"I’ve a notion to bake some soda bread this afternoon, would you like some?",Irs,"I've a mind to bake some soda bread this afternoon, fancy some?

Reasoning: In British English, the phrases ""I’ve a notion to"" and ""I tried to"" is often swapped for ""I've a mind to"". ""would you like some"" could be changed to the more colloquial ""fancy some"" which is commonly heard in everyday British English.",British
7,"It's a soft day, thank God, just a light drizzle.",Irs,"It's a mild day, thank God, just a light drizzle. 

In British English, especially among older generations, 'soft' in relation to weather often refers to gentle rain or drizzle. However, its usage is more common in Ireland than in the UK and could be regionally misunderstood. Therefore, the term 'mild' is adopted which is universally understood among British English speakers to mean temperate or not severe. The rest of the sentence remains the same as it is already in a form that would be understood by speakers of British English.",British
8,I'm just popping around the corner to buy some biltong.,Saf,"I'm just going nearby only to buy some biltong lah.

The sentence is translated to Singaporean English, commonly known as Singlish, a vernacular form of English spoken in Singapore. The addition of the word ""lah"" at the end of sentences is a common feature in Singlish and is used to emphasize a point or soften requests or imperatives. Singlish also often omits the use of prepositions and auxiliary verbs for simplicity and speed in everyday communication.",Singaporean
9,"This new project is quite lekker, isn’t it?",Saf,"This new project quite shiok one, right?

Reasoning: 
In Singaporean English, or Singlish as it's colloquially known, the term ""shiok"" is used to express great pleasure or satisfaction. It's a term borrowed from Malay and is quite versatile. Here it's used to express the satisfaction about the new project, mirroring the meaning of ""lekker"" in the original sentence (a South African term for something enjoyable). The phrase ""one, right?"" is a casual, colloquial way to turn the statement into a question.",Singaporean
